idEpisodio,episodio,titulo,duracion
1,1,Pilot,23 min
2,1,The Dundies,21 min
3,22,Goodbye Michael,50 min
4,6,Crazy Handful of Nothin',48 min
5,2,Grilled,48 min
6,16,Felina,55 min
7,1,Pilot,22 min
8,7,The Dumpling Paradox,22 min
9,23,The Stockholm Syndrome,20 min
10,1,The End's Beginning,61 min
11,4,Betrayer Moon,47 min
12,1,A Grain of Truth,59 min
13,1,Episode 1,21 min
14,3,Episode 8,21 min
15,5,Episode 10,19 min
16,5,The ogre's blood,24 min
17,1,The tale of pickle,24 min
18,8,A formidable team,24 min
19,3,Jutulheim,45 min
20,6,Yes, we love this company,45 min
21,1,Frustration,45 min
22,1,Episodio 1,50 min
23,2,Episodio 2,50 min
24,3,Episodio 3,50 min
25,4,Karate cats,28 min
26,1,Fallout,28 min
27,2,Who ate warden?,28 min
28,2,I want you to want me,42 min
29,7,Hitting Home,42 min
30,4,Revenue per square foot,42 min
